프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
백엔드 시스템 개발 및 관리,"월 금액8,000,000","8,000,000",120일,개발,웹,['PostgreSQL · 경력 무관'],대전광역시 유성구
워드프레스 구독형 몰에서 cafe24기반 쇼핑몰로 이전,"예상 금액12,000,000원","12,000,000원",60일,,,"['CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP']",서울특별시 마포구
학습자 맞춤형 매칭 기능이 있는 강의 플랫폼 구축,"예상 금액40,000,000원","40,000,000원",90일,,,"['Android', 'iOS']",서울특별시 중랑구
Flutter 또는 ReactNative 기반 피드 형태 SNS 앱 개발,"월 금액6,000,000","6,000,000",90일,개발,레벨 미선택,[],서울특별시 강남구
클라우드 인증제 CSAP 도입 컨설팅,"월 금액5,500,000","5,500,000",30일,개발,기타,[],서울특별시 영등포구
공유창고 무인운영 시스템 웹 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],경기도 안양시 만안구
ASP.NET 기반 업무 시스템 유지보수,"월 금액5,500,000","5,500,000",180일,개발,웹,[],서울특별시 강남구
전자정부/Java 기반 업무 시스템 유지보수,"월 금액5,500,000","5,500,000",180일,개발,웹,"['Java · 경력 무관', '전자정부프레임워크 · 경력 무관']",서울특별시 강남구
작사 작곡 MVP 앱 개발,"예상 금액15,000,000원","15,000,000원",40일,,,[],서울특별시 강동구
B2C 온라인 의류 쇼핑몰 개발,"예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 성동구
국민은행 마이데이터 시스템 구축 및 운영,"월 금액7,000,000","7,000,000",270일,개발,웹,"['Java · 경력 무관', 'JSP · 경력 무관', 'AWS · 경력 무관', 'Linux · 경력 무관']",서울특별시 영등포구
운영중인 LMS 웹 수정 및 개선 작업,"예상 금액16,000,000원","16,000,000원",75일,,,"['AWS', 'CSS', 'HTML', 'JavaScript', 'React']",서울특별시 구로구
부동산 등기부등본 등 공부 자동발급시스템 개발,"예상 금액15,000,000원","15,000,000원",30일,,,['Python'],대구광역시 동구
Flutter 기반 camera 수동 조작 패키지 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['Android', 'Flutter', 'iOS']",경기도 성남시 분당구
반응형 홈페이지 리뉴얼 및 수정 개발,"예상 금액1,250,000원","1,250,000원",7일,,,"['Java', 'jQuery']",경기도 수원시 권선구
여행자보험 및 장기체류보험 웹 플랫폼 개발,"예상 금액25,000,000원","25,000,000원",90일,,,[],서울특별시 강남구
사내 평가관리 시스템 및 대시보드 기획 고도화 및 개발,"예상 금액5,000,000원","5,000,000원",10일,,,[],서울특별시 중구
실시간 창고 보관 현황 관리 프로그램 개발,"예상 금액20,000,000원","20,000,000원",75일,,,[],서울특별시 용산구
웹 기반 디자인 편집기 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['canvas', 'CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP']",경기도 용인시 수지구
CK 에디터 특정 환경에서 문자 입력 시 버그 발생 개선,"예상 금액500,000원","500,000원",2일,,,['ckeditor'],서울특별시 구로구
IT 아웃소싱 서비스 플랫폼 고객 파트 프론트엔드 개발,"예상 금액9,000,000원","9,000,000원",45일,,,"['CSS', 'HTML', 'React', 'TypeScript']",서울특별시 금천구
웹 주문 시스템 프론트 개발 및 ERP 연동,"예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 마포구
IT 아웃소싱 서비스 플랫폼 고객 파트 백엔드 개발,"예상 금액9,000,000원","9,000,000원",45일,,,"['Node.js', 'TypeScript']",서울특별시 금천구
초음파 센서를 이용한 유속 측정용 DAQ 보드 개발,"예상 금액30,000,000원","30,000,000원",120일,,,[],서울특별시 강남구
게시판 형태의 반응형 웹 개발,"예상 금액3,000,000원","3,000,000원",10일,,,"['mariadb', 'MySQL', 'React']",서울특별시 강남구
대법원경매 물건 크롤링 및 입력관리 프로그램 개발,"예상 금액1,800,000원","1,800,000원",5일,,,['PHP'],서울특별시 강남구
클라우드 공유 데이터 플랫폼 프론트엔드 개발,"월 금액8,000,000","8,000,000",105일,개발,웹,['React · 경력 무관'],서울특별시 마포구
JAVA 기반 제품 통합 관리 프로그램 반응형 웹 구축,"예상 금액40,000,000원","40,000,000원",120일,,,['Java'],충청북도 청주시 청원구
이커머스 트렌드 분석을 위한 서비스 역기획 (주 1회 업무),"예상 금액150,000원","150,000원",7일,,,['PowerPoint'],서울특별시 영등포구
기존 플랫폼 추가 기능 개발,"예상 금액6,000,000원","6,000,000원",30일,,,"['Java', 'JavaScript', 'jQuery']",경기도 광명시
업무 관리 시스템 Backend 개발,"월 금액6,000,000","6,000,000",30일,개발,웹,"['Java · 경력 무관', 'Tomcat · 경력 무관']",충청남도 천안시 동남구
고객사 행사용 웹 사이트 퍼블리싱,"월 금액4,000,000","4,000,000",365일,개발,레벨 미선택,"['JavaScript · 경력 무관', 'CSS · 경력 무관', 'jQuery · 경력 무관', 'HTML · 경력 무관', 'Bootstrap · 경력 무관']",서울특별시 서초구
LG전자 Gauce to Nexacro 전환 UI SWA 구성,"월 금액9,000,000","9,000,000",90일,개발,레벨 미선택,[],서울특별시 강서구
"보험사 폐쇄몰/복지몰 수정, 유지보수","예상 금액600,000원","600,000원",3일,,,[],경기도 고양시 일산동구
제품 랜딩 페이지 디자인,"예상 금액500,000원","500,000원",2일,,,[],서울특별시 강남구
Mac OS용 출력물 보안 솔루션 개발,"예상 금액20,000,000원","20,000,000원",60일,,,['macOS'],서울특별시 영등포구
Android 및 iOS SDK를 Flutter SDK로 컨버팅,"예상 금액5,000,000원","5,000,000원",35일,,,['Flutter'],서울특별시 중구
Java 기반 공공 스포츠센터 통합 운영관리 웹 개발,"월 금액6,500,000","6,500,000",60일,개발,웹,"['Java · 경력 무관', 'jQuery · 경력 무관', 'JSP · 경력 무관', 'Spring · 경력 무관', '전자정부프레임워크 · 경력 무관', 'SQL · 경력 무관']",서울특별시 영등포구
집중력 관리 자습실 안드로이드앱 기획,"월 금액5,000,000","5,000,000",90일,기획,웹,['Figma · 경력 무관'],서울특별시 관악구
워드프레스 기반 소개 홈페이지 디자인 및 퍼블리싱,"예상 금액2,000,000원","2,000,000원",14일,,,"['Figma', 'WordPress']",서울특별시 서초구
개발 솔루션에 대한 품질 검수 및 QA,"예상 금액1,500,000원","1,500,000원",7일,,,[],서울특별시 강남구
electron 온라인 쇼핑몰 상품등록 데스크탑 앱 개발,"예상 금액7,000,000원","7,000,000원",30일,,,"['Electron', 'JavaScript', 'TypeScript']",경기도 수원시 팔달구
운영 중인 서비스 React 웹 또는 Flutter 모바일 앱 개발(주 10시간/재택근무),"월 금액1,500,000","1,500,000",90일,개발,웹,"['React · 경력 무관', 'Flutter · 경력 무관']",서울특별시 강남구
산업은행 인프라 서버관리 운영자,"월 금액5,830,000","5,830,000",330일,개발,기타,['Linux · 경력 무관'],경기도 하남시
카페24 내 이벤트성 페이지 개발 및 테스트 개발,"예상 금액3,000,000원","3,000,000원",24일,,,"['CSS', 'HTML', 'JavaScript']",서울특별시 성동구
렌탈 관리 플랫폼 웹 기획(재택/회의 시 출근),"월 금액5,500,000","5,500,000",90일,기획,웹,"['Figma · 경력 무관', 'ppt · 경력 무관']",서울특별시 마포구
제품 상세페이지 기획 및 디자인,"예상 금액2,500,000원","2,500,000원",7일,,,[],경기도 용인시 기흥구
Unity URP기반 쉐이더 작업,"예상 금액750,000원","750,000원",3일,,,['Unity'],인천광역시 계양구
IR 프레젠테이션 자료 디자인,"예상 금액3,000,000원","3,000,000원",15일,,,[],경기도 성남시 분당구
아기를 위한 플랫폼 서비스 웹 퍼블리싱 및 프론트엔드 개발,"예상 금액4,000,000원","4,000,000원",13일,,,"['CSS', 'HTML', 'JavaScript', 'TailwindCSS']",부산광역시 금정구
독립몰 이커머스 플랫폼 커스텀 개발,"예상 금액40,000,000원","40,000,000원",100일,,,[],서울특별시 영등포구
기업 블로그(테크 중심) 내 이미지 디자인 제작,"예상 금액400,000원","400,000원",2일,,,[],서울특별시 강남구
"B2B 폐쇄형 중개 쇼핑(배송, 결제 제외) 플랫폼 영문화 개발","예상 금액15,000,000원","15,000,000원",60일,,,"['Android', 'AWS', 'iOS', 'Kotlin', 'PHP', 'Swift']",경기도 고양시 일산동구
"카드단말기 연동 PC, iOS, Android 모듈 개발","예상 금액10,000,000원","10,000,000원",60일,,,"['Java', 'Kotlin', 'Swift']",서울특별시 성동구
B2B 쇼핑몰 및 Android 앱 연간 유지보수 업무,"예상 금액72,000,000원","72,000,000원","1,095일",,,"['MySQL', 'PHP']",서울특별시 서초구
BLE 기반 데이터 교환 Flutter 플러그인 개발,"예상 금액3,000,000원","3,000,000원",15일,,,"['Android', 'Flutter', 'iOS', 'Kotlin', 'Swift']",서울특별시 강남구
원외탕전실 홈페이지 구축,"예상 금액12,000,000원","12,000,000원",25일,,,[],경기도 성남시 분당구
Vertical SNS 티켓 판매 MVP 앱 구축,"예상 금액50,000,000원","50,000,000원",100일,,,"['Android', 'iOS']",경기도 성남시 분당구
카드 발급 및 수집 Android 앱 서비스 구축,"예상 금액30,000,000원","30,000,000원",60일,,,['Android'],서울특별시 용산구
GITHUB와 유사한 GUI 버전 관리 Windows 프로그램 개발,"예상 금액100,000,000원","100,000,000원",120일,,,[],경기도 성남시 분당구
홈택스 및 4대 보험공단 스크래핑 및 백엔드 개발(재택 협의 가능),"월 금액7,500,000","7,500,000",180일,개발,웹,"['JavaScript · 경력 무관', 'MySQL · 경력 무관', 'Nestjs · 경력 무관']",서울특별시 강남구
카페24 기반 회사 소개 및 상품 판매 홈페이지 개발,"예상 금액1,500,000원","1,500,000원",7일,,,[],대구광역시 중구
운영중인 웹 및 앱 Android 및 iOS 앱 패키징 기획 및 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['Android', 'iOS', 'Kotlin', 'Swift']",서울특별시 강남구
B2C 전자 락커 단기 대여 앱 서비스 구축,"예상 금액35,000,000원","35,000,000원",90일,,,"['Android', 'iOS']",서울특별시 강남구
Flutter 기반 현장 출동 직원용 앱 UI/UX 기획 및 개발,"예상 금액10,000,000원","10,000,000원",60일,,,"['Android', 'Flutter', 'iOS']",서울특별시 강남구
Vue와 React 활용한 웹 프론트엔드 개발,"월 금액7,000,000","7,000,000",120일,개발,웹,"['JavaScript · 경력 무관', 'HTML5 · 경력 무관', 'React · 경력 무관']",경기도 성남시 중원구
Vus.jS 기반 웹 프론트엔드 개발,"월 금액6,000,000","6,000,000",60일,개발,웹,[],인천광역시 부평구
동네사람들 간 커뮤니티 앱 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 관악구
AI를 활용한 맞춤형 화장품 플랫폼 Backend 개발 (주 4일 재택근무),"월 금액5,000,000","5,000,000",200일,개발,레벨 미선택,[],경기도 김포시
AI를 활용한 맞춤형 화장품 플랫폼 비전 데이터 사이언티스트 (주 4일 재택근무),"월 금액5,000,000","5,000,000",200일,개발,레벨 미선택,"['Python · 경력 무관', 'TensorFlow · 경력 무관', 'PyTorch · 경력 무관']",경기도 김포시
엑스레이 기기 STM32 펌웨어 개발,"예상 금액15,000,000원","15,000,000원",50일,,,[],경기도 화성시
의사를 위한 환자 상담 sw 개발,"예상 금액6,000,000원","6,000,000원",30일,,,"['JavaScript', 'React', 'TypeScript']",서울특별시 서초구
OCR 데모용 웹 페이지 개발,"예상 금액2,000,000원","2,000,000원",5일,,,[],서울특별시 송파구
Java 기반 PMS 백엔드 개발,"월 금액6,000,000","6,000,000",150일,개발,웹,"['JavaScript · 경력 무관', 'Java · 경력 무관', 'Oracle · 경력 무관']",서울특별시 송파구
리그오브레전드 스크림 매칭 반응형 웹 서비스 기획 및 디자인,"예상 금액20,000,000원","20,000,000원",60일,,,[],대구광역시 동구
기 운영중인 기사 수신 사이트 오류 수정,"예상 금액1,250,000원","1,250,000원",7일,,,"['Laravel', 'MongoDB', 'PHP', 'Python']",서울특별시 구로구
홈페이지 백엔드 개발 및 AWS 배포,"예상 금액2,000,000원","2,000,000원",10일,,,['MySQL'],서울특별시 서초구
